序号,行业,行业指数,行业-涨跌幅,流入资金,流出资金,净额,公司家数,领涨股,领涨股-涨跌幅,当前价,timestamp
1,燃气,2043.58,0.86,11.46,11.19,0.27,27,贵州燃气,9.04,7.6,11:37:27
2,港口航运,1293.37,0.79,36.44,31.48,4.96,36,招商南油,9.96,5.41,11:37:27
3,养殖业,3019.78,0.52,24.81,21.76,3.05,36,天邦食品,10.04,3.07,11:37:27
4,银行,1310.78,0.38,52.26,45.88,6.38,84,重庆银行,3.14,10.85,11:37:27
5,光伏设备,10067.6,0.27,160.66,189.13,-28.47,73,易成新能,12.0,5.04,11:37:27
6,饮料制造,5245.53,0.04,13.02,14.13,-1.11,46,威龙股份,10.0,9.02,11:37:27
7,橡胶制品,16080.5,-0.03,9.89,9.62,0.28,22,科创新源,9.28,89.76,11:37:27
8,其他电子,23369.2,-0.14,105.15,103.77,1.38,34,赛英电子,11.22,122.97,11:37:27
9,化学制品,8126.76,-0.15,95.56,110.34,-14.78,176,侨源股份,12.01,66.57,11:37:27
10,电子化学品,89515.2,-0.17,104.07,128.62,-24.56,40,中船特气,20.0,141.12,11:37:27
11,油气开采及服务,1871.1,-0.2,10.26,10.48,-0.23,19,潜能恒信,7.41,38.41,11:37:27
12,光学光电子,6043.14,-0.22,166.72,172.8,-6.08,107,华灿光电,10.68,16.27,11:37:27
13,半导体,17360.9,-0.34,925.15,1022.3,-97.15,179,晶升股份,20.0,68.65,11:37:27
14,化学原料,3606.53,-0.37,36.49,37.45,-0.95,59,三友化工,5.5,7.86,11:37:27
15,建筑材料,6384.23,-0.38,54.57,71.22,-16.65,73,科创新材,29.95,18.83,11:37:27
16,食品加工制造,5146.0,-0.47,17.54,19.42,-1.88,66,康比特,10.1,13.52,11:37:27
17,黑色家电,4888.53,-0.49,7.05,9.51,-2.46,9,九联科技,1.44,11.31,11:37:27
18,非金属材料,34586.8,-0.49,15.65,19.85,-4.2,14,龙高股份,10.01,35.07,11:37:27
19,塑料制品,11938.7,-0.6,59.2,77.41,-18.21,79,富恒新材,11.26,9.09,11:37:27
20,公路铁路运输,1383.44,-0.6,6.4,6.86,-0.46,32,山西高速,3.02,5.46,11:37:27
21,服装家纺,3289.33,-0.61,15.45,18.73,-3.28,75,戎美股份,7.11,17.18,11:37:27
22,通信设备,10906.7,-0.62,611.77,639.24,-27.47,90,长盈通,20.0,91.64,11:37:27
23,家居用品,4617.23,-0.64,18.25,21.61,-3.37,98,蒙娜丽莎,10.0,16.94,11:37:27
24,白酒,2206.07,-0.67,24.53,32.16,-7.63,20,皇台酒业,1.66,14.06,11:37:27
25,自动化设备,32203.8,-0.71,160.91,176.49,-15.58,94,罗博特科,12.01,604.49,11:37:27
26,多元金融,1266.52,-0.8,17.13,25.32,-8.19,26,南华期货,9.98,25.89,11:37:27
27,消费电子,14053.8,-0.83,268.59,325.67,-57.08,95,可川科技,10.0,115.38,11:37:27
28,造纸,2367.68,-1.01,5.11,7.41,-2.3,24,华泰股份,3.38,3.97,11:37:27
29,小家电,4717.23,-1.01,4.28,6.72,-2.45,25,利仁科技,10.0,55.0,11:37:27
30,农产品加工,4023.18,-1.02,12.29,13.7,-1.41,43,海大集团,4.21,47.54,11:37:27
31,环境治理,4712.88,-1.07,44.72,51.16,-6.44,112,侨银股份,10.0,13.97,11:37:27
32,物流,5717.08,-1.1,8.8,12.06,-3.26,50,国货航,4.89,5.58,11:37:27
33,汽车服务及其他,1146.87,-1.12,5.08,5.67,-0.58,25,ST中路,5.08,6.0,11:37:27
34,专用设备,8595.43,-1.12,115.15,135.83,-20.67,199,新益昌,11.08,134.33,11:37:27
35,中药,3256.99,-1.15,13.72,20.82,-7.1,68,*ST香雪,2.34,10.94,11:37:27
36,纺织制造,2580.22,-1.17,6.66,9.46,-2.8,33,华升股份,10.0,14.19,11:37:27
37,通用设备,10409.3,-1.17,171.41,206.32,-34.91,250,集智股份,12.6,65.06,11:37:27
38,汽车整车,3155.32,-1.18,25.45,36.68,-11.23,23,千里科技,3.54,12.58,11:37:27
39,煤炭开采加工,2877.44,-1.18,21.34,29.54,-8.19,34,上海能源,0.88,13.74,11:37:27
40,石油加工贸易,4141.2,-1.19,14.0,16.0,-2.0,27,东方盛虹,3.74,13.31,11:37:27
41,电力,2300.54,-1.22,248.97,327.87,-78.9,109,京能电力,10.02,6.37,11:37:27
42,化学制药,6660.41,-1.23,73.73,101.93,-28.2,159,昂利康,9.99,40.07,11:37:27
43,证券,1480.96,-1.25,55.48,92.56,-37.08,50,湘财股份,1.97,9.3,11:37:27
44,包装印刷,5113.61,-1.3,20.87,30.54,-9.67,46,金富科技,10.01,53.76,11:37:27
45,白色家电,8848.91,-1.31,54.2,69.86,-15.66,45,禾盛新材,4.71,103.67,11:37:27
46,医药商业,4957.77,-1.32,7.24,11.28,-4.03,32,英特集团,2.08,11.79,11:37:27
47,零售,2000.35,-1.32,21.52,32.9,-11.38,72,百联股份,4.96,8.68,11:37:27
48,其他电源设备,7867.92,-1.36,80.18,106.83,-26.65,33,华塑科技,6.97,86.97,11:37:27
49,轨交设备,1173.48,-1.36,15.44,19.67,-4.23,30,必得科技,3.5,58.58,11:37:27
50,综合,2621.28,-1.38,19.57,38.09,-18.52,16,ST三木,5.0,4.41,11:37:27
51,化学纤维,4401.03,-1.39,18.28,24.92,-6.64,29,泰和新材,9.97,14.89,11:37:27
52,建筑装饰,4786.83,-1.42,64.77,100.92,-36.14,146,*ST东易,5.03,13.57,11:37:27
53,工业金属,4955.19,-1.48,108.28,129.33,-21.05,56,金田股份,6.32,13.46,11:37:27
54,电机,3933.32,-1.5,12.32,18.59,-6.27,26,星德胜,6.71,30.39,11:37:27
55,生物制品,6406.38,-1.5,21.14,28.4,-7.26,54,*ST双成,4.08,10.72,11:37:27
56,汽车零部件,7112.32,-1.5,142.14,175.74,-33.6,268,花王股份,9.98,9.26,11:37:27
57,工程机械,3603.0,-1.53,16.5,24.94,-8.43,36,长龄液压,2.27,118.3,11:37:27
58,农化制品,5490.28,-1.59,36.12,59.64,-23.51,61,广康生化,5.84,50.96,11:37:27
59,其他社会服务,22170.4,-1.59,15.41,20.3,-4.89,82,中国汽研,5.47,17.92,11:37:27
60,种植业与林业,4862.57,-1.61,9.97,19.12,-9.15,30,新赛股份,2.47,5.8,11:37:27
61,通信服务,3448.06,-1.61,96.89,129.95,-33.06,45,线上线下,15.32,154.29,11:37:27
62,互联网电商,9882.86,-1.63,15.21,17.19,-1.97,19,跨境通,1.81,4.51,11:37:27
63,房地产,1940.74,-1.64,34.36,54.65,-20.29,87,合肥城建,10.0,19.8,11:37:27
64,机场航运,1982.4,-1.65,4.35,9.73,-5.38,13,深圳机场,-0.58,6.83,11:37:27
65,美容护理,5482.7,-1.65,5.21,8.8,-3.59,33,科思股份,2.6,14.61,11:37:27
66,教育,4476.96,-1.66,2.77,5.6,-2.83,16,*ST高科,5.04,12.08,11:37:27
67,旅游及酒店,3001.91,-1.68,4.73,9.22,-4.49,35,ST张家界,4.35,8.39,11:37:27
68,医疗器械,12120.3,-1.7,40.45,54.39,-13.94,139,力诺药包,7.04,37.4,11:37:27
69,计算机设备,4664.89,-1.71,149.94,194.23,-44.3,83,维宏股份,7.94,42.95,11:37:27
70,金属新材料,16406.7,-1.75,27.17,33.25,-6.07,34,春光集团,4.87,116.0,11:37:27
71,贸易,3110.54,-1.76,8.07,9.73,-1.66,15,云维股份,0.99,4.07,11:37:27
72,保险,2018.52,-1.9,14.92,22.0,-7.07,5,中国人保,-1.5,7.22,11:37:27
73,钢铁,1758.75,-1.91,18.29,33.54,-15.26,44,金洲管道,1.43,12.08,11:37:27
74,环保设备,1603.39,-1.97,20.36,27.17,-6.81,29,国林科技,2.77,18.19,11:37:27
75,元件,22928.5,-2.14,259.42,371.2,-111.79,62,科翔股份,8.61,78.2,11:37:27
76,游戏,10311.6,-2.21,28.53,48.52,-19.99,24,游族网络,2.35,11.31,11:37:27
77,影视院线,1530.78,-2.23,12.94,22.36,-9.42,20,华智数媒,4.68,7.61,11:37:27
78,军工装备,2651.23,-2.24,111.26,175.65,-64.38,83,华秦科技,20.0,94.9,11:37:27
79,IT服务,14518.0,-2.3,137.26,208.57,-71.3,130,慧辰股份,10.42,54.17,11:37:27
80,软件开发,2179.73,-2.34,81.14,137.6,-56.46,139,思特奇,10.9,15.56,11:37:27
81,医疗服务,18329.4,-2.36,35.11,52.83,-17.73,56,百诚医药,1.19,64.45,11:37:27
82,电池,23294.3,-2.46,232.23,298.35,-66.12,105,蔚蓝锂芯,10.0,26.94,11:37:27
83,文化传媒,2963.4,-2.64,52.02,93.0,-40.98,85,旗天科技,3.01,10.27,11:37:27
84,电网设备,8062.39,-2.67,154.28,224.17,-69.89,139,中利集团,10.0,5.17,11:37:27
85,贵金属,5979.84,-2.68,40.16,66.47,-26.32,13,四川黄金,0.47,57.7,11:37:27
86,厨卫电器,6748.84,-2.74,1.59,2.53,-0.94,9,奥普科技,-0.52,11.6,11:37:27
87,风电设备,5863.26,-2.74,35.99,57.93,-21.94,32,禾望电气,1.08,62.4,11:37:27
88,军工电子,14804.9,-2.95,57.12,92.53,-35.4,63,新光光电,3.3,66.99,11:37:27
89,小金属,9904.81,-3.41,107.9,153.46,-45.55,29,东方钽业,1.82,51.4,11:37:27
90,能源金属,42484.0,-3.58,50.93,71.56,-20.62,12,远航精密,-1.35,24.93,11:37:27
