序号,行业,行业指数,行业-涨跌幅,流入资金,流出资金,净额,公司家数,领涨股,领涨股-涨跌幅,当前价,timestamp
1,军工装备,2686.91,3.31,296.0,244.29,51.71,83,电科蓝天,19.99,85.64,12:16:42
2,军工电子,15267.0,2.38,144.23,137.15,7.08,63,天微电子,11.57,24.1,12:16:42
3,贸易,3183.81,2.38,16.61,17.51,-0.91,15,江苏国泰,10.0,9.79,12:16:42
4,电机,3975.0,2.36,43.74,43.26,0.49,26,三协电机,8.71,56.26,12:16:42
5,小家电,4766.0,2.33,13.01,11.78,1.22,25,融捷健康,13.27,4.78,12:16:42
6,港口航运,1304.27,2.27,54.62,49.57,5.04,36,国航远洋,10.4,12.42,12:16:42
7,汽车零部件,7246.17,2.25,317.09,282.99,34.1,268,天铭科技,29.98,20.64,12:16:42
8,通信设备,10556.6,1.99,706.9,693.66,13.24,90,通鼎互联,10.01,20.66,12:16:42
9,贵金属,6424.87,1.92,118.9,107.27,11.63,13,赤峰黄金,4.82,44.4,12:16:42
10,消费电子,13849.1,1.85,303.35,281.15,22.2,95,昀冢科技,20.0,45.72,12:16:42
11,黑色家电,4794.4,1.82,14.57,13.35,1.22,9,四川九洲,5.88,14.04,12:16:42
12,白色家电,8862.14,1.79,118.25,115.03,3.22,45,金海高科,10.0,23.1,12:16:42
13,金属新材料,16346.0,1.78,34.76,33.26,1.5,34,族兴新材,11.61,32.6,12:16:42
14,塑料制品,11750.7,1.78,104.57,111.26,-6.69,79,新恒泰,11.97,18.9,12:16:42
15,通用设备,10420.9,1.76,306.51,298.31,8.2,250,鼎熔岩,20.01,17.75,12:16:42
16,房地产,1971.77,1.72,69.81,74.8,-4.98,87,宁波富达,10.07,8.09,12:16:42
17,其他社会服务,22542.3,1.7,29.76,31.01,-1.24,82,安邦护卫,10.01,43.95,12:16:42
18,纺织制造,2620.76,1.63,15.92,15.63,0.29,33,聚杰微纤,13.27,80.05,12:16:42
19,光学光电子,5942.93,1.59,219.29,209.39,9.9,107,戈碧迦,22.55,70.1,12:16:42
20,包装印刷,5141.16,1.57,42.91,38.29,4.62,46,康欣新材,10.09,3.6,12:16:42
21,IT服务,14796.8,1.56,257.38,259.36,-1.98,130,荣联科技,10.06,9.08,12:16:42
22,游戏,10783.6,1.54,66.18,73.71,-7.54,24,完美世界,10.03,17.55,12:16:42
23,元件,22008.2,1.5,362.1,387.68,-25.57,62,迅捷兴,14.71,53.34,12:16:42
24,服装家纺,3315.95,1.46,34.15,30.19,3.95,75,酷特智能,12.12,24.51,12:16:42
25,专用设备,8617.2,1.36,177.78,175.9,1.88,199,华兴源创,12.38,63.9,12:16:42
26,机场航运,2053.67,1.34,31.36,21.27,10.1,13,海航控股,5.26,1.6,12:16:42
27,美容护理,5715.72,1.34,11.15,10.49,0.66,33,锦盛新材,8.13,25.53,12:16:42
28,燃气,2013.45,1.33,16.94,18.16,-1.21,27,洪通燃气,10.04,13.04,12:16:42
29,家居用品,4649.83,1.32,34.01,33.06,0.95,98,帝欧水华,10.04,8.44,12:16:42
30,医疗器械,12324.3,1.31,64.49,64.73,-0.24,139,达安基因,9.93,6.64,12:16:42
31,厨卫电器,6879.03,1.3,2.65,2.72,-0.07,9,*ST帅电,5.03,18.18,12:16:42
32,计算机设备,4675.6,1.27,221.97,218.79,3.18,83,觅睿科技,17.18,51.85,12:16:42
33,环保设备,1617.94,1.27,37.69,38.28,-0.59,29,*ST仕净,15.34,11.13,12:16:42
34,造纸,2446.84,1.24,14.3,14.03,0.27,24,华旺科技,3.93,10.06,12:16:42
35,自动化设备,31598.9,1.24,235.49,229.9,5.6,93,绿的谐波,14.11,262.99,12:16:42
36,石油加工贸易,4185.15,1.23,25.45,29.59,-4.14,27,博汇股份,12.6,17.34,12:16:42
37,建筑装饰,4849.48,1.18,119.79,135.57,-15.78,146,尤安设计,10.14,41.15,12:16:42
38,旅游及酒店,3101.51,1.14,10.59,9.31,1.28,35,桂林旅游,3.98,6.79,12:16:42
39,工程机械,3652.22,1.07,38.01,46.35,-8.34,36,万达轴承,12.12,97.99,12:16:42
40,物流,5863.59,1.07,19.15,19.76,-0.61,50,宏川智慧,10.01,16.04,12:16:42
41,非金属材料,32673.9,1.02,20.31,21.14,-0.83,14,龙高股份,9.99,35.57,12:16:42
42,公路铁路运输,1386.61,1.02,10.87,7.02,3.85,32,五洲交通,5.66,4.11,12:16:42
43,油气开采及服务,1902.39,1.01,19.29,19.81,-0.52,19,*ST准油,5.02,7.95,12:16:42
44,教育,4593.95,1.01,6.63,8.56,-1.93,16,*ST传智,5.01,7.12,12:16:42
45,互联网电商,9931.24,1.0,27.29,28.19,-0.9,19,新迅达,7.33,29.71,12:16:42
46,饮料制造,5257.56,0.94,18.19,19.41,-1.22,46,西部牧业,13.42,14.03,12:16:42
47,软件开发,2238.46,0.92,185.1,201.33,-16.23,139,*ST汇科,8.05,18.39,12:16:42
48,通信服务,3406.42,0.92,113.33,122.98,-9.65,45,国安股份,10.16,3.36,12:16:42
49,光伏设备,9796.03,0.9,175.85,177.31,-1.46,73,*ST泉为,17.83,15.4,12:16:42
50,种植业与林业,4999.32,0.89,23.84,22.86,0.99,30,众兴菌业,3.84,17.04,12:16:42
51,零售,2063.9,0.84,37.39,37.37,0.02,72,华致酒行,9.7,15.15,12:16:42
52,轨交设备,1179.5,0.82,13.46,15.62,-2.17,30,ST朗进,8.2,20.58,12:16:42
53,橡胶制品,16223.0,0.82,7.81,9.0,-1.19,22,科强股份,3.78,11.53,12:16:42
54,中药,3333.03,0.79,22.56,28.35,-5.79,68,粤万年青,10.43,22.56,12:16:42
55,建筑材料,6393.42,0.78,80.08,85.54,-5.46,73,山东玻纤,9.98,14.87,12:16:42
56,环境治理,4732.28,0.75,63.09,70.68,-7.59,112,京源环保,13.91,9.66,12:16:42
57,化学制品,8087.32,0.67,122.13,154.49,-32.36,176,福莱蒽特,10.01,34.73,12:16:42
58,农产品加工,4114.46,0.66,14.55,17.35,-2.8,43,粤海饲料,6.79,9.59,12:16:42
59,多元金融,1269.04,0.65,22.38,26.07,-3.69,26,鲁信创投,10.01,24.84,12:16:42
60,影视院线,1559.05,0.62,22.39,27.54,-5.16,20,ST华谊,5.24,2.01,12:16:42
61,钢铁,1833.6,0.49,46.15,50.87,-4.71,44,武进不锈,10.04,8.55,12:16:42
62,化学纤维,4513.45,0.47,30.9,33.42,-2.52,29,恒申新材,10.03,8.23,12:16:42
63,工业金属,5011.62,0.44,174.11,172.71,1.4,56,丽岛新材,10.02,18.88,12:16:42
64,生物制品,6452.12,0.41,31.4,32.9,-1.5,54,华兰疫苗,7.95,21.19,12:16:42
65,汽车服务及其他,1179.57,0.36,6.83,7.11,-0.28,25,征和工业,2.98,58.1,12:16:42
66,电网设备,7871.06,0.33,155.74,202.64,-46.9,138,温州宏丰,20.0,16.98,12:16:42
67,其他电子,22243.2,0.31,97.72,117.3,-19.58,34,百邦科技,16.01,33.47,12:16:42
68,农化制品,5652.66,0.3,72.04,83.06,-11.02,61,澄星股份,9.99,14.75,12:16:42
69,食品加工制造,5237.35,0.27,28.1,31.85,-3.75,66,交大昂立,9.98,5.95,12:16:42
70,白酒,2277.24,0.26,30.04,43.82,-13.78,20,金徽酒,4.36,18.42,12:16:42
71,化学原料,3647.9,0.25,53.98,62.44,-8.45,59,雪天盐业,6.04,7.2,12:16:42
