序号,行业,行业指数,行业-涨跌幅,流入资金,流出资金,净额,公司家数,领涨股,领涨股-涨跌幅,当前价,timestamp
72,化学制药,6758.59,0.14,105.65,135.3,-29.65,159,拓新药业,7.78,29.91,12:16:42
73,医药商业,5050.67,0.13,10.57,12.76,-2.19,32,嘉事堂,1.99,13.87,12:16:42
74,电力,2211.16,0.11,194.4,241.38,-46.99,109,兆新股份,10.0,5.28,12:16:42
75,文化传媒,3044.78,0.05,138.57,167.97,-29.4,85,*ST返利,5.05,6.65,12:16:42
76,半导体,16096.5,-0.01,1036.06,1176.74,-140.68,179,联动科技,17.76,215.88,12:16:42
77,医疗服务,18773.6,-0.14,58.99,70.53,-11.54,56,贝瑞基因,10.01,10.99,12:16:42
78,小金属,10162.1,-0.19,167.44,211.36,-43.92,29,云南锗业,7.32,86.07,12:16:42
79,保险,2099.77,-0.24,25.3,28.37,-3.07,5,中国人保,0.83,7.32,12:16:42
80,汽车整车,3222.77,-0.24,43.83,54.57,-10.74,23,宇通客车,1.54,35.64,12:16:42
81,养殖业,3049.07,-0.29,15.08,21.87,-6.78,36,中水渔业,2.48,9.5,12:16:42
82,银行,1310.49,-0.29,52.74,71.98,-19.24,84,工商银行,0.95,7.46,12:16:42
83,电子化学品,82260.4,-0.38,113.96,139.05,-25.09,40,唯特偶,7.38,94.67,12:16:42
84,综合,2652.07,-0.45,43.3,54.28,-10.99,16,ST三木,3.12,3.63,12:16:42
85,证券,1476.4,-0.46,64.33,100.36,-36.02,50,东吴证券,1.1,8.26,12:16:42
86,煤炭开采加工,2920.12,-0.6,34.39,44.91,-10.51,34,冀中能源,2.83,5.81,12:16:42
87,其他电源设备,7465.92,-0.69,70.1,87.31,-17.21,33,爱科赛博,3.23,69.45,12:16:42
88,风电设备,5934.79,-0.78,70.34,71.88,-1.54,32,泰胜风能,9.55,12.73,12:16:42
89,电池,23904.9,-1.21,430.91,560.14,-129.23,105,圣阳股份,10.0,32.9,12:16:42
90,能源金属,46008.1,-1.72,102.41,150.88,-48.47,12,永杉锂业,6.25,23.99,12:16:42
