序号,行业,行业指数,行业-涨跌幅,流入资金,流出资金,净额,公司家数,领涨股,领涨股-涨跌幅,当前价,timestamp
1,半导体,18530.7,3.15,2156.96,1894.84,262.12,179,联芸科技,20.0,88.6,19:08:04
2,电子化学品,96803.7,2.48,240.3,227.21,13.09,40,唯特偶,13.77,133.91,19:08:04
3,电池,23489.0,1.62,416.25,362.28,53.97,105,理奇智能,13.09,79.5,19:08:04
4,其他电子,24049.1,1.47,107.27,109.32,-2.05,34,可立克,10.0,30.35,19:08:04
5,能源金属,40394.8,1.28,98.44,90.41,8.03,12,博迁新材,5.9,137.45,19:08:04
6,非金属材料,33390.5,1.19,23.66,23.05,0.6,14,三祥新材,10.01,45.73,19:08:04
7,光伏设备,9918.38,0.78,294.94,257.81,37.14,73,固德威,11.06,143.5,19:08:04
8,白酒,2198.08,0.68,54.12,60.29,-6.17,20,金徽酒,10.03,20.3,19:08:04
9,小金属,9496.06,0.55,171.93,172.08,-0.15,29,国城矿业,8.05,43.23,19:08:04
10,元件,23397.9,0.49,414.06,421.68,-7.62,62,法拉电子,10.0,162.36,19:08:04
11,环保设备,1619.04,0.43,21.13,23.48,-2.35,29,盛剑科技,10.02,30.64,19:08:04
12,饮料制造,5258.99,0.4,30.9,30.6,0.29,46,威龙股份,10.0,13.2,19:08:04
13,金属新材料,16248.5,0.4,37.2,38.61,-1.42,34,云路股份,8.09,107.0,19:08:04
14,化学制品,8171.88,0.37,177.48,170.56,6.92,176,泰坦科技,17.05,27.25,19:08:04
15,油气开采及服务,1914.06,0.36,40.21,33.9,6.32,19,ST洲际,5.0,2.94,19:08:04
16,自动化设备,33742.8,0.31,305.28,301.55,3.73,95,锐翔智能,25.0,310.01,19:08:04
17,光学光电子,6078.55,0.28,247.05,245.11,1.95,107,万润科技,9.98,19.28,19:08:04
18,塑料制品,11959.4,0.14,99.92,95.19,4.73,79,争光股份,20.0,49.2,19:08:04
19,黑色家电,4859.25,0.09,13.45,12.79,0.66,9,兆驰股份,4.46,13.36,19:08:04
20,通信设备,10874.0,-0.2,807.43,800.76,6.68,90,云里物里,12.1,22.6,19:08:04
21,石油加工贸易,4071.08,-0.23,22.67,25.57,-2.9,27,和顺石油,9.99,53.06,19:08:04
22,公路铁路运输,1373.47,-0.25,10.79,13.52,-2.72,32,大众交通,10.0,5.06,19:08:04
23,燃气,2082.89,-0.31,22.78,27.79,-5.01,27,胜利股份,4.09,4.83,19:08:04
24,食品加工制造,5082.29,-0.39,31.6,35.82,-4.22,66,黑芝麻,10.06,5.47,19:08:04
25,工业金属,4702.52,-0.39,139.72,150.34,-10.62,56,金田股份,6.27,14.4,19:08:04
26,橡胶制品,15949.4,-0.4,15.38,14.73,0.65,22,龙星科技,10.02,6.7,19:08:04
27,建筑材料,6236.63,-0.41,82.54,83.98,-1.44,73,凯伦股份,15.42,19.39,19:08:04
28,专用设备,8582.95,-0.43,227.14,215.18,11.95,199,利和兴,20.0,36.36,19:08:04
29,风电设备,5779.39,-0.46,49.17,55.55,-6.38,32,和展能源,10.08,4.37,19:08:04
30,港口航运,1255.91,-0.46,47.91,38.26,9.65,36,招商南油,6.39,5.33,19:08:04
31,包装印刷,5100.39,-0.47,40.78,37.35,3.43,46,大胜达,10.01,17.7,19:08:04
32,白色家电,9008.3,-0.49,80.24,82.56,-2.32,45,海达尔,13.56,82.9,19:08:04
33,医疗服务,18024.7,-0.55,56.74,65.62,-8.87,56,百奥赛图,9.04,103.46,19:08:04
34,造纸,2307.19,-0.59,9.72,11.59,-1.87,24,齐峰新材,2.82,8.01,19:08:04
35,贸易,3056.21,-0.6,6.4,8.92,-2.51,15,凯瑞德,10.07,7.76,19:08:04
36,化学纤维,4208.17,-0.61,24.84,25.1,-0.25,29,泰和新材,5.37,15.11,19:08:04
37,化学原料,3528.15,-0.62,47.41,57.68,-10.27,59,三孚股份,10.01,53.76,19:08:04
38,汽车服务及其他,1150.74,-0.63,10.03,13.59,-3.56,25,绿通科技,20.0,54.12,19:08:04
39,军工电子,14705.9,-0.64,103.65,112.75,-9.1,63,天微电子,6.59,27.83,19:08:04
40,消费电子,14158.2,-0.65,349.78,395.75,-45.97,95,光大同创,8.49,111.2,19:08:04
41,美容护理,5330.92,-0.65,9.99,9.63,0.36,33,嘉亨家化,8.2,47.0,19:08:04
42,银行,1286.01,-0.65,57.98,91.41,-33.43,84,厦门银行,0.56,7.25,19:08:04
43,证券,1439.53,-0.67,82.39,96.26,-13.86,50,华安证券,5.75,6.62,19:08:04
44,物流,5596.09,-0.68,16.37,17.65,-1.28,50,海晨股份,8.78,23.17,19:08:04
45,通用设备,10531.6,-0.69,323.47,344.4,-20.93,250,申菱环境,13.06,163.22,19:08:04
46,小家电,4810.36,-0.72,13.02,14.61,-1.59,25,利仁科技,10.0,80.53,19:08:04
47,中药,3191.58,-0.72,24.63,28.14,-3.51,68,三力制药,7.91,13.5,19:08:04
48,保险,1936.75,-0.77,24.43,26.79,-2.36,5,中国人寿,-0.49,34.54,19:08:04
49,军工装备,2551.36,-0.78,150.99,164.58,-13.59,83,航新科技,7.26,20.99,19:08:04
50,农化制品,5299.52,-0.79,51.49,56.87,-5.38,61,*ST辉丰,4.62,2.49,19:08:04
51,多元金融,1215.46,-0.82,18.86,21.94,-3.08,26,鲁信创投,6.01,23.47,19:08:04
52,生物制品,6242.61,-0.82,27.98,32.87,-4.9,54,四环生物,10.0,3.41,19:08:04
53,工程机械,3526.09,-0.83,31.54,32.16,-0.62,36,华东重机,5.34,9.08,19:08:04
54,建筑装饰,4722.74,-0.84,105.71,126.57,-20.86,146,柏诚股份,10.01,33.3,19:08:04
55,环境治理,4619.1,-0.87,54.71,62.04,-7.33,112,华宏科技,10.01,30.11,19:08:04
56,纺织制造,2514.19,-0.88,10.28,10.48,-0.21,33,兴业科技,3.72,14.51,19:08:04
57,计算机设备,4651.26,-0.9,166.67,168.73,-2.06,83,兆日科技,10.74,11.96,19:08:04
58,化学制药,6465.4,-0.92,103.43,117.68,-14.25,159,宏源药业,8.52,34.4,19:08:04
59,其他电源设备,7833.38,-1.0,86.62,99.5,-12.88,33,新雷能,4.6,32.77,19:08:04
60,机场航运,1907.57,-1.02,8.79,12.51,-3.72,13,吉祥航空,0.73,11.06,19:08:04
61,电网设备,7992.61,-1.04,218.75,254.72,-35.98,139,金利华电,20.0,36.72,19:08:04
62,服装家纺,3206.02,-1.08,23.23,23.68,-0.45,75,九牧王,5.18,11.98,19:08:04
63,房地产,1893.86,-1.08,84.78,85.03,-0.25,87,福星股份,10.14,2.28,19:08:04
64,农产品加工,3907.96,-1.11,10.46,13.5,-3.04,43,粤海饲料,10.0,9.79,19:08:04
65,医疗器械,11877.1,-1.12,61.57,70.78,-9.2,139,之江生物,6.8,21.66,19:08:04
66,家居用品,4567.99,-1.2,32.08,33.73,-1.65,98,海象新材,9.14,25.32,19:08:04
67,轨交设备,1146.21,-1.22,11.92,16.68,-4.76,30,祥和实业,1.16,10.47,19:08:04
68,养殖业,2928.38,-1.22,15.27,20.35,-5.08,36,*ST福成,2.1,3.41,19:08:04
69,医药商业,4793.18,-1.26,15.14,17.17,-2.04,32,润达医疗,2.59,15.46,19:08:04
70,贵金属,5372.7,-1.27,76.15,87.75,-11.6,13,四川黄金,1.18,57.36,19:08:04
71,旅游及酒店,2923.1,-1.28,6.59,9.48,-2.89,35,张家界,2.55,7.64,19:08:04
72,汽车零部件,7076.71,-1.31,239.72,282.37,-42.66,269,密封科技,20.01,31.01,19:08:04
73,其他社会服务,21600.6,-1.44,21.93,25.56,-3.63,82,实朴检测,5.82,70.04,19:08:04
74,钢铁,1679.41,-1.54,35.11,42.83,-7.71,44,大中矿业,4.69,41.96,19:08:04
75,厨卫电器,6613.86,-1.56,1.58,2.15,-0.56,9,老板电器,1.03,17.64,19:08:04
76,零售,1950.63,-1.67,35.51,43.94,-8.43,72,合百集团,10.05,9.53,19:08:04
77,种植业与林业,4630.58,-1.74,13.53,16.97,-3.44,30,雪榕生物,2.65,6.96,19:08:04
78,汽车整车,2990.06,-1.76,32.68,50.79,-18.11,23,中通客车,-0.44,11.33,19:08:04
79,影视院线,1511.38,-1.9,16.9,22.58,-5.68,20,博纳影业,2.86,9.71,19:08:04
80,互联网电商,9735.92,-1.9,19.0,22.79,-3.79,19,新迅达,8.44,33.28,19:08:04
81,软件开发,2189.93,-1.96,131.37,165.38,-34.01,139,概伦电子,12.88,39.7,19:08:04
82,IT服务,14620.7,-1.99,230.29,285.27,-54.97,130,达实智能,10.05,4.27,19:08:04
83,游戏,10174.7,-2.0,35.5,50.34,-14.84,24,名臣健康,2.04,26.0,19:08:04
84,电机,4077.56,-2.04,29.34,39.91,-10.58,26,华阳智能,6.04,88.9,19:08:04
