序号,行业,行业指数,行业-涨跌幅,流入资金,流出资金,净额,公司家数,领涨股,领涨股-涨跌幅,当前价,timestamp
1,半导体,16980.7,5.49,1182.12,928.46,253.65,179,普冉股份,20.0,381.0,11:36:20
2,电子化学品,86225.0,4.82,123.42,101.05,22.37,40,兴福电子,20.0,75.6,11:36:20
3,其他电子,23105.0,3.88,111.11,83.5,27.61,34,百邦科技,19.99,40.16,11:36:20
4,元件,22678.3,3.04,302.09,281.97,20.12,62,四会富仕,12.22,56.83,11:36:20
5,其他电源设备,7672.34,2.77,72.38,63.24,9.13,33,科威尔,16.32,58.6,11:36:20
6,光伏设备,10061.3,2.71,162.52,133.86,28.66,73,*ST泉为,11.23,17.13,11:36:20
7,通信设备,10802.7,2.33,625.13,644.65,-19.51,90,三旺通信,20.0,46.8,11:36:20
8,自动化设备,32197.2,1.89,186.12,166.62,19.5,93,鸿仕达,25.85,124.96,11:36:20
9,黑色家电,4883.23,1.85,9.67,9.79,-0.12,9,*ST高斯,5.0,16.37,11:36:20
10,工程机械,3714.08,1.69,45.89,42.49,3.4,36,徐工机械,10.03,10.97,11:36:20
11,小金属,10328.0,1.63,159.87,148.98,10.9,29,长裕集团,561.4,91.67,11:36:20
12,光学光电子,6040.0,1.63,178.24,166.89,11.35,107,沃格光电,10.01,80.03,11:36:20
13,计算机设备,4751.35,1.62,166.12,163.96,2.16,83,同有科技,20.0,42.6,11:36:20
14,金属新材料,16605.8,1.59,38.27,28.85,9.42,34,春光集团,615.34,95.14,11:36:20
15,白色家电,8999.22,1.55,67.67,71.35,-3.68,45,海达尔,26.32,55.0,11:36:20
16,非金属材料,33161.4,1.49,16.46,16.08,0.37,14,天马新材,6.94,32.5,11:36:20
17,消费电子,14053.3,1.48,269.88,233.76,36.13,95,信维通信,13.87,115.41,11:36:20
18,军工电子,15487.4,1.44,113.26,115.71,-2.45,63,中航光电,9.99,40.61,11:36:20
19,塑料制品,11917.8,1.42,67.5,68.72,-1.22,79,唯赛勃,10.52,19.97,11:36:20
20,电力,2241.35,1.36,137.07,137.77,-0.7,109,桂冠电力,10.03,11.63,11:36:20
21,风电设备,6012.18,1.3,46.2,55.79,-9.59,32,飞沃科技,10.33,257.84,11:36:20
22,房地产,1996.96,1.28,65.88,57.51,8.37,87,上实发展,10.04,6.03,11:36:20
23,专用设备,8725.4,1.26,140.19,137.72,2.47,199,海昌智能,20.98,72.02,11:36:20
24,电网设备,7957.69,1.1,142.08,151.06,-8.97,138,光格科技,11.02,51.07,11:36:20
25,建筑材料,6462.54,1.08,67.54,67.01,0.53,73,山东玻纤,10.02,16.36,11:36:20
