序号,行业,行业指数,行业-涨跌幅,流入资金,流出资金,净额,公司家数,领涨股,领涨股-涨跌幅,当前价,timestamp
26,互联网电商,10034.0,1.03,22.11,20.94,1.17,19,赛维时代,10.3,23.88,11:36:20
27,家居用品,4695.63,0.98,22.45,23.7,-1.25,98,尚品宅配,19.99,17.59,11:36:20
28,军工装备,2713.01,0.97,156.89,174.73,-17.84,83,*ST航图,14.53,14.5,11:36:20
29,综合,2677.37,0.95,31.16,29.29,1.87,16,综艺股份,9.95,8.62,11:36:20
30,养殖业,3076.25,0.89,26.25,18.35,7.9,36,天邦食品,10.08,2.84,11:36:20
31,电池,24111.5,0.86,299.76,309.62,-9.86,105,骄成超声,14.96,162.41,11:36:20
32,厨卫电器,6937.74,0.85,2.93,2.6,0.33,9,*ST帅电,3.74,18.86,11:36:20
33,化学制品,8156.3,0.85,84.34,86.02,-1.68,176,富淼科技,19.99,39.08,11:36:20
34,通用设备,10506.7,0.82,195.03,201.7,-6.67,250,精测电子,10.48,158.98,11:36:20
35,石油加工贸易,4218.63,0.8,16.72,18.83,-2.12,27,康普顿,8.54,18.43,11:36:20
36,工业金属,5049.95,0.77,105.5,115.75,-10.26,56,中金岭南,10.06,8.75,11:36:20
37,医疗器械,12417.5,0.76,51.9,52.58,-0.69,139,力诺药包,16.36,32.0,11:36:20
38,包装印刷,5178.89,0.73,29.82,31.43,-1.61,46,翔港科技,10.01,23.07,11:36:20
39,农化制品,5693.97,0.73,52.85,56.65,-3.81,61,澄星股份,10.03,16.23,11:36:20
40,教育,4626.65,0.71,5.42,5.22,0.2,16,*ST高科,5.01,10.9,11:36:20
41,化学纤维,4544.39,0.69,20.97,20.9,0.07,29,宝丽迪,13.37,79.14,11:36:20
42,其他社会服务,22691.9,0.66,19.82,20.84,-1.02,82,安邦护卫,6.92,46.99,11:36:20
43,通信服务,3428.74,0.66,112.47,106.39,6.08,45,吴通控股,10.53,6.09,11:36:20
44,证券,1485.96,0.65,89.28,75.33,13.96,50,锦龙股份,6.27,11.02,11:36:20
45,小家电,4796.23,0.63,6.56,9.0,-2.43,25,利仁科技,10.01,41.32,11:36:20
46,生物制品,6491.46,0.61,24.67,25.57,-0.9,54,君实生物,6.15,41.78,11:36:20
47,油气开采及服务,1913.29,0.57,10.99,13.46,-2.47,19,惠博普,5.22,3.63,11:36:20
48,煤炭开采加工,2935.36,0.52,24.67,26.75,-2.08,34,广汇能源,2.94,6.31,11:36:20
49,建筑装饰,4874.21,0.51,82.08,78.84,3.25,146,金螳螂,10.0,7.48,11:36:20
50,电机,3995.0,0.5,22.22,25.1,-2.88,26,佳电股份,9.72,17.04,11:36:20
51,软件开发,2249.03,0.47,141.73,131.27,10.46,139,科创信息,8.7,14.75,11:36:20
52,燃气,2022.89,0.47,10.34,12.34,-2.0,27,胜通能源,10.0,54.99,11:36:20
53,轨交设备,1184.54,0.43,10.86,13.62,-2.76,30,永贵电器,8.8,27.21,11:36:20
54,环境治理,4752.4,0.42,40.63,46.03,-5.39,112,京源环保,15.22,11.13,11:36:20
55,文化传媒,3057.34,0.41,81.19,82.48,-1.29,85,中国科传,5.93,26.78,11:36:20
56,多元金融,1274.03,0.39,18.68,21.6,-2.92,26,*ST九鼎,5.04,9.8,11:36:20
57,化学制药,6784.42,0.38,80.57,86.56,-5.99,159,南新制药,16.38,10.23,11:36:20
58,IT服务,14850.9,0.37,185.08,209.02,-23.94,130,农尚环境,20.04,13.42,11:36:20
59,化学原料,3659.11,0.31,34.92,37.24,-2.32,59,金瑞矿业,5.76,24.43,11:36:20
60,种植业与林业,5009.45,0.2,12.6,13.88,-1.29,30,农发种业,3.68,7.33,11:36:20
61,保险,2103.79,0.19,25.97,27.41,-1.44,5,中国太保,0.6,37.12,11:36:20
62,能源金属,46087.2,0.17,68.87,78.15,-9.28,12,永杉锂业,3.5,24.83,11:36:20
63,纺织制造,2624.28,0.13,11.38,13.13,-1.75,33,富春染织,10.03,19.97,11:36:20
64,环保设备,1619.08,0.07,24.65,28.82,-4.17,29,蓝盾光电,15.23,28.75,11:36:20
65,零售,2064.79,0.04,23.83,26.4,-2.58,72,美凯龙,6.08,2.79,11:36:20
66,白酒,2277.62,0.02,27.54,32.83,-5.29,20,今世缘,2.6,28.86,11:36:20
67,汽车零部件,7246.62,0.01,163.09,184.34,-21.24,268,天普股份,10.0,113.43,11:36:20
68,中药,3333.16,0.0,25.27,27.53,-2.26,68,康惠股份,6.23,39.92,11:36:20
69,服装家纺,3316.02,0.0,20.7,21.69,-0.99,75,嘉曼服饰,8.61,28.14,11:36:20
70,影视院线,1558.56,-0.03,13.87,18.52,-4.65,20,中视传媒,4.06,16.66,11:36:20
71,医疗服务,18766.1,-0.04,38.73,41.62,-2.9,56,百诚医药,4.83,63.4,11:36:20
72,钢铁,1832.27,-0.07,35.39,35.4,-0.01,44,包钢股份,3.61,2.87,11:36:20
73,饮料制造,5251.43,-0.12,12.89,13.74,-0.85,46,国投中鲁,3.9,24.23,11:36:20
74,医药商业,5043.56,-0.14,7.55,8.54,-0.99,32,益丰药房,5.49,23.44,11:36:20
75,汽车服务及其他,1177.45,-0.18,4.21,4.74,-0.53,25,绿通科技,3.56,41.59,11:36:20
76,橡胶制品,16191.9,-0.19,7.35,6.99,0.36,22,阳谷华泰,4.01,12.71,11:36:20
77,汽车整车,3216.51,-0.19,33.43,38.32,-4.89,23,众泰汽车,5.68,2.79,11:36:20
78,贸易,3176.51,-0.23,9.21,10.98,-1.77,15,怡亚通,6.3,7.26,11:36:20
79,食品加工制造,5221.48,-0.3,17.97,21.8,-3.83,66,交大昂立,10.08,6.55,11:36:20
80,物流,5842.81,-0.35,11.93,15.12,-3.19,50,新宁物流,3.73,4.73,11:36:20
81,公路铁路运输,1380.89,-0.41,5.34,5.87,-0.53,32,富临运业,3.8,12.83,11:36:20
82,农产品加工,4095.07,-0.47,11.73,13.33,-1.6,43,天康生物,3.88,8.03,11:36:20
83,银行,1303.64,-0.52,32.18,50.06,-17.88,84,齐鲁银行,1.27,6.36,11:36:20
84,造纸,2423.96,-0.94,6.76,8.78,-2.02,24,博汇纸业,2.38,6.46,11:36:20
85,旅游及酒店,3072.1,-0.95,5.64,9.86,-4.22,35,*ST西旅,2.09,7.81,11:36:20
86,游戏,10665.8,-1.09,42.68,54.27,-11.6,24,*ST大晟,1.51,4.04,11:36:20
87,美容护理,5643.83,-1.26,6.56,9.39,-2.83,33,*ST美谷,2.97,3.47,11:36:20
88,机场航运,2020.8,-1.6,7.28,13.21,-5.92,13,上海机场,-0.52,27.05,11:36:20
89,贵金属,6319.79,-1.64,53.87,66.49,-12.63,13,四川黄金,0.98,59.77,11:36:20
90,港口航运,1278.76,-1.96,24.1,31.27,-7.18,36,珠海港,0.0,5.27,11:36:20
