time,mode,total,up,down,flat,ratio,total_amount,limit_up,big_up,small_up,small_down,big_down,limit_down,avg_change,median_change,sh_price,sh_change,sh_change_abs,sz_price,sz_change,sz_change_abs,cyb_price,cyb_change,cyb_change_abs,kc50_price,kc50_change,kc50_change_abs,bj50_price,bj50_change,bj50_change_abs
11:46:23,noon,5518,1300,4150,68,0.31,19222.2,61,128,1111,3974,160,16,-1.02,-1.53,4150.9768,-0.45,-18.561,15512.08,-0.37,-57.828,3910.52,0.05,2.08,1811.4342,2.04,36.2997,1349.026,-1.158,-15.807
15:15:16,close,5518,1638,3803,77,0.43,29759.66,99,177,1362,3615,164,24,-0.66,-1.2,4162.1845,-0.18,-7.3533,15569.98,0.0,0.071,3921.79,0.34,13.352,1832.022,3.2,56.8875,1349.372,-1.133,-15.461
17:11:01,close,5518,1638,3803,77,0.43,29759.66,99,177,1362,3615,164,24,-0.66,-1.2,4162.1845,-0.18,-7.3533,15569.98,0.0,0.071,3921.79,0.34,13.352,1832.022,3.2,56.8875,1349.372,-1.133,-15.461
17:25:40,close,5518,1638,3803,77,0.43,29759.66,99,177,1362,3615,164,24,-0.66,-1.2,4162.1845,-0.18,-7.3533,15569.98,0.0,0.071,3921.79,0.34,13.352,1832.022,3.2,56.8875,1349.372,-1.133,-15.461
17:48:50,close,5518,1638,3803,77,0.43,29759.66,99,177,1362,3615,164,24,-0.66,-1.2,4162.1845,-0.18,-7.3533,15569.98,0.0,0.071,3921.79,0.34,13.352,1832.022,3.2,56.8875,1349.372,-1.133,-15.461
18:18:22,close,5518,1638,3803,77,0.43,29759.66,99,177,1362,3615,164,24,-0.66,-1.2,4162.1845,-0.18,-7.3533,15569.98,0.0,0.071,3921.79,0.34,13.352,1832.022,3.2,56.8875,1349.372,-1.133,-15.461
18:39:27,close,5518,1638,3803,77,0.43,29759.66,99,177,1362,3615,164,24,-0.66,-1.2,4162.1845,-0.18,-7.3533,15569.98,0.0,0.071,3921.79,0.34,13.352,1832.022,3.2,56.8875,1349.372,-1.133,-15.461
19:08:04,close,5518,1638,3803,77,0.43,29759.66,99,177,1362,3615,164,24,-0.66,-1.2,4162.1845,-0.18,-7.3533,15569.98,0.0,0.071,3921.79,0.34,13.352,1832.022,3.2,56.8875,1349.372,-1.133,-15.461
