time,mode,total,up,down,flat,ratio,total_amount,limit_up,big_up,small_up,small_down,big_down,limit_down,avg_change,median_change,sh_price,sh_change,sh_change_abs,sz_price,sz_change,sz_change_abs,cyb_price,cyb_change,cyb_change_abs,kc50_price,kc50_change,kc50_change_abs,bj50_price,bj50_change,bj50_change_abs
11:08:38,close,5514,2738,2618,158,1.05,21467.73,123,271,2344,2565,49,4,0.89,0.0,4214.6139,0.83,34.6615,15861.31,1.91,297.512,3900.96,2.76,104.833,1722.5645,5.0,82.1042,1427.428,-0.622,-8.934
11:36:20,noon,5514,2995,2339,180,1.28,23229.96,140,324,2531,2290,45,4,1.13,0.21,4219.133,0.94,39.1806,15895.75,2.13,331.954,3911.32,3.03,115.189,1726.9838,5.27,86.5235,1434.99,-0.096,-1.372
